BFDH,Uniform Distribution,100,268,100,0.9404
0,0,0,27,30
1,27,0,19,30
2,46,0,7,30
3,53,0,5,30
4,58,0,30,29
5,0,30,29,29
6,29,30,23,29
7,88,0,8,29
8,52,30,6,29
9,58,30,30,28
10,0,59,23,28
11,23,59,24,27
12,47,59,30,26
13,0,87,28,26
14,77,59,20,26
15,88,30,12,26
16,28,87,24,25
17,52,87,19,25
18,71,87,14,25
19,85,87,12,24
20,96,0,4,24
21,0,113,21,23
22,21,113,11,23
23,32,113,25,22
24,57,113,22,21
25,79,113,12,21
26,91,113,6,21
27,0,136,5,21
28,97,59,2,21
29,5,136,22,20
30,27,136,21,20
31,48,136,20,20
32,68,136,15,20
33,83,136,13,20
34,0,157,11,20
35,11,157,18,19
36,29,157,8,19
37,99,59,1,19
38,37,157,18,18
39,96,136,4,18
40,97,87,2,18
41,55,157,28,17
42,0,177,21,17
43,21,177,20,17
44,83,157,14,17
45,97,113,3,17
46,97,157,2,17
47,99,87,1,17
48,41,177,30,16
49,71,177,16,16
50,87,177,7,16
51,94,177,4,16
52,99,157,1,16
53,0,194,29,15
54,29,194,18,15
55,47,194,27,14
56,74,194,18,14
57,92,194,5,14
58,0,209,28,13
59,28,209,29,12
60,57,209,26,12
61,0,222,20,12
62,83,209,17,12
63,20,222,15,12
64,35,222,6,12
65,98,177,2,12
66,41,222,27,11
67,68,222,12,11
68,0,234,30,10
69,30,234,28,10
70,58,234,26,10
71,84,234,13,10
72,80,222,8,10
73,0,244,29,9
74,29,244,29,9
75,58,244,20,9
76,97,194,2,9
77,0,253,24,8
78,78,244,14,8
79,88,222,9,8
80,92,244,4,8
81,24,253,22,6
82,46,253,20,6
83,66,253,8,6
84,74,253,18,5
85,0,261,17,5
86,17,261,14,5
87,92,253,7,5
88,31,261,28,4
89,59,261,7,4
90,66,261,6,4
91,72,261,6,3
92,0,266,30,2
93,30,266,29,2
94,78,261,12,2
95,90,261,8,2
96,59,266,7,1
97,66,266,7,1
98,73,266,5,1
99,97,222,3,1
