Algorithm,TestMode,N,Runtime(ms),FillRatio,Height
NFDH,Uniform Distribution,700,0.0900,0.9077,1867
FFDH,Uniform Distribution,700,0.2000,0.9887,1714
BFDH,Uniform Distribution,700,0.1900,0.9893,1713
BL,Uniform Distribution,700,119.7000,0.9116,1859
BL_Online,Uniform Distribution,700,542.4900,0.8348,2030
NFDH,High Std Normal Distribution,700,0.1000,0.8914,1946
FFDH,High Std Normal Distribution,700,0.1800,0.9801,1770
BFDH,High Std Normal Distribution,700,0.2400,0.9795,1771
BL,High Std Normal Distribution,700,104.8400,0.8919,1945
BL_Online,High Std Normal Distribution,700,103.3400,0.8237,2106
NFDH,Identical Rectangles,800,1.0700,0.8955,2010
FFDH,Identical Rectangles,800,1.2400,0.8955,2010
BFDH,Identical Rectangles,800,1.1200,0.8955,2010
BL,Identical Rectangles,800,63.4900,0.8955,2010
BL_Online,Identical Rectangles,800,62.3400,0.8955,2010
NFDH,Uniform Distribution,800,0.0700,0.8792,2070
FFDH,Uniform Distribution,800,0.1500,0.9924,1834
BFDH,Uniform Distribution,800,0.1600,0.9924,1834
BL,Uniform Distribution,800,103.6100,0.9005,2021
BL_Online,Uniform Distribution,800,132.3000,0.8489,2144
NFDH,High Std Normal Distribution,800,0.0700,0.8925,2122
FFDH,High Std Normal Distribution,800,0.1500,0.9869,1919
BFDH,High Std Normal Distribution,800,0.1900,0.9869,1919
BL,High Std Normal Distribution,800,106.2000,0.9079,2086
BL_Online,High Std Normal Distribution,800,131.8100,0.8245,2297
NFDH,Identical Rectangles,900,1.4100,0.9000,2250
FFDH,Identical Rectangles,900,1.5200,0.9000,2250
BFDH,Identical Rectangles,900,1.5300,0.9000,2250
BL,Identical Rectangles,900,80.6200,0.9000,2250
BL_Online,Identical Rectangles,900,81.1000,0.9000,2250
NFDH,Uniform Distribution,900,0.0900,0.8917,2322
FFDH,Uniform Distribution,900,0.1700,0.9916,2088
BFDH,Uniform Distribution,900,0.2100,0.9926,2086
BL,Uniform Distribution,900,132.8200,0.8975,2307
BL_Online,Uniform Distribution,900,169.1400,0.8379,2471
NFDH,High Std Normal Distribution,900,0.0700,0.8896,2392
FFDH,High Std Normal Distribution,900,0.1500,0.9851,2160
BFDH,High Std Normal Distribution,900,0.2700,0.9860,2158
BL,High Std Normal Distribution,900,131.0700,0.8811,2415
BL_Online,High Std Normal Distribution,900,164.1700,0.8267,2574
NFDH,Identical Rectangles,1000,1.6000,0.8982,2505
FFDH,Identical Rectangles,1000,1.8100,0.8982,2505
BFDH,Identical Rectangles,1000,1.6800,0.8982,2505
BL,Identical Rectangles,1000,99.6667,0.8982,2505
