BL_Online,Uniform Distribution,100,301,100,0.8373
0,0,0,5,21
1,5,0,14,25
2,19,0,30,28
3,49,0,28,26
4,77,0,13,20
5,90,0,9,8
6,49,26,24,8
7,77,20,12,11
8,90,8,4,16
9,0,25,16,16
10,94,8,6,29
11,16,28,17,5
12,73,31,18,19
13,16,33,29,9
14,45,34,22,6
15,45,40,12,24
16,0,42,20,17
17,57,40,12,21
18,69,50,29,15
19,20,42,7,4
20,0,59,30,29
21,30,42,6,12
22,36,42,3,1
23,30,54,11,20
24,41,64,22,21
25,63,65,28,10
26,63,75,18,5
27,91,65,6,3
28,63,80,23,28
29,30,85,28,17
30,0,88,27,11
31,86,75,14,8
32,0,99,21,23
33,21,102,22,20
34,43,102,20,9
35,86,83,2,17
36,88,83,12,2
37,88,85,6,21
38,86,106,13,10
39,43,111,30,16
40,73,116,14,17
41,87,116,7,1
42,0,122,30,2
43,0,124,23,29
44,23,127,24,27
45,47,127,26,12
46,94,116,6,4
47,47,139,30,26
48,87,117,4,24
49,91,120,7,5
50,0,154,29,29
51,91,125,5,30
52,77,133,7,1
53,29,154,18,15
54,77,155,15,20
55,47,165,20,20
56,29,169,12,26
57,67,175,30,10
58,41,169,5,14
59,98,120,2,18
60,0,183,8,10
61,41,185,28,13
62,8,183,19,25
63,97,125,1,19
64,69,185,7,30
65,27,198,26,10
66,76,185,21,17
67,0,193,5,1
68,0,194,4,18
69,98,138,1,17
70,97,155,3,17
71,4,194,4,8
72,53,198,8,2
73,76,202,20,12
74,53,200,11,23
75,4,208,8,29
76,12,208,17,12
77,29,208,19,30
78,76,214,21,20
79,97,172,1,16
80,12,220,14,5
81,48,234,29,12
82,0,237,29,9
83,0,246,25,22
84,25,246,28,4
85,98,172,2,12
86,98,184,2,9
87,53,246,24,25
88,77,234,8,6
89,77,240,18,18
90,25,250,8,19
91,0,269,29,2
92,33,250,18,14
93,77,258,7,16
94,0,271,27,30
95,33,264,20,26
96,84,258,15,12
97,53,271,20,6
98,73,274,27,14
99,29,269,2,21
